Scan ID, Event Time         , BSSID            , SSID             , Device Name            , Accuracy, MGRS           , Latitude, Longitude, Altitude Meters, RSSI, Channel, Frequency MHz, Security, Manufacturer   , Device Type , Source      , Notes
SV-0009, 2026-05-19 09:33:04, AA:BB:CC:11:22:33, CoffeeGuest      , Aiden-iPhone           ,        7, 15SWC8085179084, 41.87819, -87.62982,             181, -67 ,       6,          2437, WPA2    , Apple          , Mobile      , passive scan,repeat device different MGRS
SV-0001, 2026-05-19 08:02:11, 6C:40:08:AA:10:01, HomeBase-Router  , HomeBase Router        ,        5, 15SWC8083478912, 41.87801, -87.62964,             181, -42 ,      11,          2462, WPA2    , Netgear        , Access Point, passive scan,baseline router sighting
SV-0014, 2026-05-19 10:17:45, F0:9F:C2:55:67:89, WarehouseCam-2   , Warehouse Camera 2     ,       10, 15SWC8091879305, 41.88151, -87.62891,             184, -72 ,       1,          2412, WPA2    , Hikvision      , Camera      , active scan ,weak signal
SV-0005, 2026-05-19 08:48:36, AA:BB:CC:11:22:33, CoffeeGuest      , Aiden-iPhone           ,        8, 15SWC8083578915, 41.87803, -87.62961,             181, -65 ,       6,          2437, WPA2    , Apple          , Mobile      , passive scan,repeat device same MGRS
SV-0011, 2026-05-19 09:46:52, 2A:91:8B:EF:30:44, HiddenNetwork    , Unknown Android        ,       12, 15SWC8089879194, 41.88055, -87.62903,             183, -80 ,     149,          5745, WPA3    , Samsung        , Mobile      , passive scan,hidden SSID reported by scanner
SV-0003, 2026-05-19 08:18:22, 8E:31:4F:0C:2A:B8, ShadowPrinter    , Office Printer         ,        7, 15SWC8083578915, 41.87804, -87.62960,             181, -58 ,       1,          2412, WPA2    , HP             , Printer     , active scan ,printer near office
SV-0018, 2026-05-19 11:04:07, 44:55:66:77:88:99, TransitWiFi      , Bus AP 431             ,       22, 15SWC8100279552, 41.88462, -87.62809,             182, -86 ,      44,          5220, Open    , Cradlepoint    , Access Point, passive scan,moving access point
SV-0007, 2026-05-19 09:01:17, DC:A6:32:90:10:FE, StorePOS         , POS Terminal 1         ,        5, 15SWC8087879088, 41.87972, -87.62927,             182, -51 ,      36,          5180, WPA2    , Square         , POS         , active scan ,point of sale network
SV-0012, 2026-05-19 10:02:13, 6C:40:08:AA:10:01, HomeBase-Router  , HomeBase Router        ,        5, 15SWC8083478912, 41.87801, -87.62964,             181, -41 ,      11,          2462, WPA2    , Netgear        , Access Point, passive scan,router repeated same MGRS
SV-0016, 2026-05-19 10:39:26, AA:BB:CC:11:22:33, CoffeeGuest      , Aiden-iPhone           ,       10, 15SWC8096679440, 41.88314, -87.62843,             183, -74 ,       6,          2437, WPA2    , Apple          , Mobile      , passive scan,repeat device third MGRS
SV-0002, 2026-05-19 08:09:40, AA:BB:CC:11:22:33, CoffeeGuest      , Aiden-iPhone           ,        8, 15SWC8083578915, 41.87803, -87.62961,             181, -63 ,       6,          2437, WPA2    , Apple          , Mobile      , passive scan,first mobile sighting
SV-0020, 2026-05-19 11:21:55, DC:A6:32:90:10:FE, StorePOS         , POS Terminal 1         ,        5, 15SWC8087879088, 41.87972, -87.62927,             182, -50 ,      36,          5180, WPA2    , Square         , POS         , active scan ,repeat same location
SV-0006, 2026-05-19 08:52:09, E4:5F:01:88:20:77, DeliveryScanner  , Handheld Scanner 7     ,       14, 15SWC8086179011, 41.87915, -87.62948,             182, -77 ,      40,          5200, WPA2    , Zebra          , Scanner     , passive scan,delivery scanner
SV-0015, 2026-05-19 10:24:19, 8E:31:4F:0C:2A:B8, ShadowPrinter    , Office Printer         ,        6, 15SWC8083578915, 41.87804, -87.62960,             181, -56 ,       1,          2412, WPA2    , HP             , Printer     , active scan ,printer repeated same MGRS
SV-0004, 2026-05-19 08:27:59, 2A:91:8B:EF:30:44, HiddenNetwork    , Unknown Android        ,       12, 15SWC8084778930, 41.87858, -87.62950,             181, -78 ,     149,          5745, WPA3    , Samsung        , Mobile      , passive scan,randomized MAC suspected
SV-0019, 2026-05-19 11:13:44, 2A:91:8B:EF:30:44, HiddenNetwork    , Unknown Android        ,       13,                , 41.88057, -87.62904,             183, -81 ,     149,          5745, WPA3    , Samsung        , Mobile      , passive scan,blank MGRS should not count
SV-0008, 2026-05-19 09:22:31, F0:9F:C2:55:67:89, WarehouseCam-2   , Warehouse Camera 2     ,        9, 15SWC8091879305, 41.88151, -87.62891,             184, -70 ,       1,          2412, WPA2    , Hikvision      , Camera      , active scan ,camera first sighting
SV-0013, 2026-05-19 10:11:08, E4:5F:01:88:20:77, DeliveryScanner  , Handheld Scanner 7     ,       15, 15SWC8090279211, 41.88072, -87.62898,             183, -79 ,      40,          5200, WPA2    , Zebra          , Scanner     , passive scan,delivery scanner moved
SV-0010, 2026-05-19 09:38:18, 44:55:66:77:88:99, TransitWiFi      , Bus AP 431             ,       20, 15SWC8098479488, 41.88394, -87.62822,             182, -85 ,      44,          5220, Open    , Cradlepoint    , Access Point, passive scan,moving access point
SV-0017, 2026-05-19 10:51:02, 6C:40:08:AA:10:01, HomeBase-Router  , HomeBase Router        ,        5, 15SWC8083478912, 41.87801, -87.62964,             181, -43 ,      11,          2462, WPA2    , Netgear        , Access Point, passive scan,router repeated again
SV-0021, 2026-05-19 11:31:08, AA:BB:CC:11:22:33, CoffeeGuest      , Aiden-iPhone           ,        9, 15SWC8101879620, 41.88519, -87.62796,             183, -69 ,       6,          2437, WPA2    , Apple          , Mobile      , passive scan,repeat device new MGRS
SV-0022, 2026-05-19 11:38:22, 6C:40:08:AA:10:01, HomeBase-Router  , HomeBase Router        ,        5, 15SWC8083478912, 41.87801, -87.62964,             181, -42 ,      11,          2462, WPA2    , Netgear        , Access Point, passive scan,router repeated same MGRS
SV-0023, 2026-05-19 11:44:17, F0:9F:C2:55:67:89, WarehouseCam-2   , Warehouse Camera 2     ,       10, 15SWC8091879305, 41.88152, -87.62890,             184, -73 ,       1,          2412, WPA2    , Hikvision      , Camera      , active scan ,camera repeated same MGRS
SV-0024, 2026-05-19 11:52:41, 2A:91:8B:EF:30:44, HiddenNetwork    , Unknown Android        ,       13, 15SWC8103079664, 41.88562, -87.62787,             183, -82 ,     149,          5745, WPA3    , Samsung        , Mobile      , passive scan,hidden SSID new MGRS
SV-0025, 2026-05-19 12:01:12, 8E:31:4F:0C:2A:B8, ShadowPrinter    , Office Printer         ,        6, 15SWC8083578915, 41.87804, -87.62960,             181, -57 ,       1,          2412, WPA2    , HP             , Printer     , active scan ,printer repeated same MGRS
SV-0026, 2026-05-19 12:08:55, E4:5F:01:88:20:77, DeliveryScanner  , Handheld Scanner 7     ,       16, 15SWC8104679712, 41.88609, -87.62776,             183, -80 ,      40,          5200, WPA2    , Zebra          , Scanner     , passive scan,scanner moved
SV-0027, 2026-05-19 12:16:03, DC:A6:32:90:10:FE, StorePOS         , POS Terminal 1         ,        5, 15SWC8087879088, 41.87972, -87.62927,             182, -49 ,      36,          5180, WPA2    , Square         , POS         , active scan ,repeat same location
SV-0028, 2026-05-19 12:23:49, 44:55:66:77:88:99, TransitWiFi      , Bus AP 431             ,       22, 15SWC8106479780, 41.88677, -87.62762,             182, -87 ,      44,          5220, Open    , Cradlepoint    , Access Point, passive scan,moving access point
SV-0029, 2026-05-19 12:32:10, 18:74:2E:AB:CD:01, LibraryWiFi-East , Library East AP        ,        7, 15SWC8107679824, 41.88719, -87.62753,             182, -61 ,       6,          2437, WPA2    , Cisco          , Access Point, active scan ,library AP first sighting
SV-0030, 2026-05-19 12:39:35, 70:3A:CB:22:44:55, CitySensor-17    , Air Quality Sensor 17  ,       18, 15SWC8108879871, 41.88762, -87.62744,             182, -83 ,      11,          2462, WPA2    , Bosch          , Sensor      , passive scan,city sensor first sighting
SV-0031, 2026-05-19 12:47:58, 02:11:22:33:44:55, RandomizedPhone-1, Unknown iOS Device     ,       11, 15SWC8110079918, 41.88804, -87.62735,             183, -76 ,     149,          5745, WPA3    , Apple          , Mobile      , passive scan,randomized MAC suspected
SV-0032, 2026-05-19 12:55:21, 10:FE:ED:44:12:01, ClinicGuest      , Clinic Tablet A        ,        9, 15SWC8111279964, 41.88847, -87.62726,             183, -68 ,      36,          5180, WPA2    , Lenovo         , Tablet      , active scan ,clinic tablet first sighting
SV-0033, 2026-05-19 13:02:44, 9C:8E:CD:01:23:45, HotelIoT         , Smart Thermostat 3     ,       10, 15SWC8112480010, 41.88890, -87.62717,             184, -71 ,       1,          2412, WPA2    , Honeywell      , Sensor      , passive scan,thermostat first sighting
SV-0034, 2026-05-19 13:10:06, BC:AD:28:45:90:12, ParkingMeterNet  , Meter Gateway 12       ,       17, 15SWC8113680056, 41.88933, -87.62708,             182, -84 ,      44,          5220, WPA2    , Sierra Wireless, Gateway     , passive scan,meter gateway first sighting
SV-0035, 2026-05-19 13:18:29, 58:CB:52:AA:90:77, CampusSecure     , Security Badge Reader  ,        8, 15SWC8114880101, 41.88975, -87.62699,             182, -63 ,      11,          2462, WPA2    , HID            , Reader      , active scan ,badge reader first sighting
SV-0036, 2026-05-19 13:25:53, C8:D7:19:10:20:30, FoodTruckPOS     , Food Truck POS         ,       14, 15SWC8116080147, 41.89018, -87.62690,             183, -79 ,       6,          2437, WPA2    , Clover         , POS         , passive scan,food truck POS first sighting
SV-0037, 2026-05-19 13:33:15, 34:12:98:76:54:32, DroneController  , Survey Drone Controller,       24, 15SWC8117280193, 41.89061, -87.62681,             185, -88 ,     149,          5745, WPA2    , DJI            , Controller  , active scan ,drone controller first sighting
SV-0038, 2026-05-19 13:41:39, 90:2B:34:56:78:9A, MuseumBeacon     , Museum Beacon West     ,        4, 15SWC8118480238, 41.89104, -87.62672,             181, -47 ,       1,          2412, Open    , Kontakt.io     , Beacon      , passive scan,beacon first sighting
SV-0039, 2026-05-19 13:49:02, A0:B1:C2:D3:E4:F5, GuestLobby       , Lobby AP 1             ,        6, 15SWC8119680284, 41.89147, -87.62663,             182, -59 ,      36,          5180, WPA2    , Ubiquiti       , Access Point, active scan ,lobby AP first sighting
SV-0040, 2026-05-19 13:57:25, 7E:57:21:AA:CC:09, UnknownWearable  , Unknown Watch          ,       19, 15SWC8120880330, 41.89189, -87.62654,             183, -86 ,      40,          5200, WPA3    , Garmin         , Wearable    , passive scan,wearable first sighting
SV-0041, 2026-05-19 14:04:48, AA:BB:CC:11:22:33, CoffeeGuest      , Aiden-iPhone           ,        9, 15SWC8122080376, 41.89232, -87.62645,             183, -70 ,       6,          2437, WPA2    , Apple          , Mobile      , passive scan,repeat device new MGRS
SV-0042, 2026-05-19 14:12:12, 6C:40:08:AA:10:01, HomeBase-Router  , HomeBase Router        ,        5, 15SWC8083478912, 41.87801, -87.62964,             181, -41 ,      11,          2462, WPA2    , Netgear        , Access Point, passive scan,router repeated same MGRS
SV-0043, 2026-05-19 14:20:35, F0:9F:C2:55:67:89, WarehouseCam-2   , Warehouse Camera 2     ,       10, 15SWC8091879305, 41.88153, -87.62889,             184, -74 ,       1,          2412, WPA2    , Hikvision      , Camera      , active scan ,camera repeated same MGRS
SV-0044, 2026-05-19 14:27:58, 2A:91:8B:EF:30:44, HiddenNetwork    , Unknown Android        ,       14, 15SWC8124480466, 41.89318, -87.62627,             183, -83 ,     149,          5745, WPA3    , Samsung        , Mobile      , passive scan,hidden SSID new MGRS
SV-0045, 2026-05-19 14:35:21, 8E:31:4F:0C:2A:B8, ShadowPrinter    , Office Printer         ,        7, 15SWC8083578915, 41.87804, -87.62960,             181, -58 ,       1,          2412, WPA2    , HP             , Printer     , active scan ,printer repeated same MGRS
SV-0046, 2026-05-19 14:43:44, E4:5F:01:88:20:77, DeliveryScanner  , Handheld Scanner 7     ,       16, 15SWC8125680512, 41.89361, -87.62618,             183, -81 ,      40,          5200, WPA2    , Zebra          , Scanner     , passive scan,scanner moved
SV-0047, 2026-05-19 14:51:07, DC:A6:32:90:10:FE, StorePOS         , POS Terminal 1         ,        5, 15SWC8087879088, 41.87972, -87.62927,             182, -50 ,      36,          5180, WPA2    , Square         , POS         , active scan ,repeat same location
SV-0048, 2026-05-19 14:59:31, 44:55:66:77:88:99, TransitWiFi      , Bus AP 431             ,       23, 15SWC8126880558, 41.89404, -87.62609,             182, -88 ,      44,          5220, Open    , Cradlepoint    , Access Point, passive scan,moving access point
SV-0049, 2026-05-19 15:06:54, 18:74:2E:AB:CD:01, LibraryWiFi-East , Library East AP        ,        7, 15SWC8107679824, 41.88719, -87.62753,             182, -62 ,       6,          2437, WPA2    , Cisco          , Access Point, active scan ,library AP repeat
SV-0050, 2026-05-19 15:14:17, 70:3A:CB:22:44:55, CitySensor-17    , Air Quality Sensor 17  ,       19, 15SWC8128080603, 41.89447, -87.62600,             182, -84 ,      11,          2462, WPA2    , Bosch          , Sensor      , passive scan,city sensor moved
SV-0051, 2026-05-19 15:22:40, 02:11:22:33:44:55, RandomizedPhone-1, Unknown iOS Device     ,       12, 15SWC8129280649, 41.89490, -87.62591,             183, -77 ,     149,          5745, WPA3    , Apple          , Mobile      , passive scan,randomized MAC new MGRS
SV-0052, 2026-05-19 15:30:04, 10:FE:ED:44:12:01, ClinicGuest      , Clinic Tablet A        ,        9, 15SWC8111279964, 41.88847, -87.62726,             183, -69 ,      36,          5180, WPA2    , Lenovo         , Tablet      , active scan ,clinic tablet repeat
SV-0053, 2026-05-19 15:38:27, 9C:8E:CD:01:23:45, HotelIoT         , Smart Thermostat 3     ,       11, 15SWC8130480695, 41.89533, -87.62582,             184, -72 ,       1,          2412, WPA2    , Honeywell      , Sensor      , passive scan,thermostat new MGRS
SV-0054, 2026-05-19 15:46:50, BC:AD:28:45:90:12, ParkingMeterNet  , Meter Gateway 12       ,       17, 15SWC8131680740, 41.89576, -87.62573,             182, -85 ,      44,          5220, WPA2    , Sierra Wireless, Gateway     , passive scan,meter gateway moved
SV-0055, 2026-05-19 15:54:13, 58:CB:52:AA:90:77, CampusSecure     , Security Badge Reader  ,        8, 15SWC8114880101, 41.88975, -87.62699,             182, -64 ,      11,          2462, WPA2    , HID            , Reader      , active scan ,badge reader repeat
SV-0056, 2026-05-19 16:02:36, C8:D7:19:10:20:30, FoodTruckPOS     , Food Truck POS         ,       14, 15SWC8132880786, 41.89619, -87.62564,             183, -80 ,       6,          2437, WPA2    , Clover         , POS         , passive scan,food truck POS moved
SV-0057, 2026-05-19 16:09:59, 34:12:98:76:54:32, DroneController  , Survey Drone Controller,       25, 15SWC8134080832, 41.89661, -87.62555,             185, -89 ,     149,          5745, WPA2    , DJI            , Controller  , active scan ,drone controller moved
SV-0058, 2026-05-19 16:18:23, 90:2B:34:56:78:9A, MuseumBeacon     , Museum Beacon West     ,        4, 15SWC8118480238, 41.89104, -87.62672,             181, -48 ,       1,          2412, Open    , Kontakt.io     , Beacon      , passive scan,beacon repeat
SV-0059, 2026-05-19 16:26:46, A0:B1:C2:D3:E4:F5, GuestLobby       , Lobby AP 1             ,        6, 15SWC8135280877, 41.89704, -87.62546,             182, -60 ,      36,          5180, WPA2    , Ubiquiti       , Access Point, active scan ,lobby AP new MGRS
